timestamp_frame,x,y,class
294,325,325,Joystick
295,352,326,Joystick
296,811,251,
297,835,297,
298,1549,21,Shop
299,1016,323,
300,1589,20,Shop
301,1614,15,Shop
302,897,361,
303,1589,19,Shop
304,1589,19,Shop
305,1614,15,Shop
306,1589,18,Shop
307,1615,15,Shop
308,938,385,
309,1250,499,Skill 2
310,1542,246,Gather command
311,368,154,On mic team
312,331,670,Joystick
313,333,676,Joystick
314,1614,14,Shop
315,473,606,Joystick
316,473,618,Joystick
317,191,450,Joystick
318,513,413,Joystick
319,780,595,Summon command
320,1005,625,Regen
321,372,285,Joystick
322,1346,66,Cancelation
323,360,211,Pin mini map
324,374,53,Configuration
325,656,406,
326,780,391,
327,1204,648,Skill 1
328,1614,15,Shop
329,366,58,Configuration
330,1548,22,Shop
331,1615,16,Shop
332,375,219,Pin mini map
333,357,51,Configuration
334,1614,15,Shop
335,1614,15,Shop
336,322,274,Joystick
337,365,58,Configuration
338,1459,151,Retreat command
339,1616,17,Shop
340,368,155,On mic team
341,368,155,On mic team
342,1291,445,Skill 2
343,1265,421,Skill 2
344,1284,600,Basic attack
345,405,385,Joystick
346,419,387,Joystick
347,1017,449,
348,595,566,Joystick
349,97,700,
350,488,456,Joystick
351,527,440,Joystick
352,114,672,
353,875,245,
354,376,526,Joystick
355,657,195,
356,471,430,Joystick
357,469,425,Joystick
358,446,384,Joystick
359,450,375,Joystick
360,713,481,
361,1589,18,Shop
362,378,414,Joystick
363,892,333,
364,470,424,Joystick
365,467,415,Joystick
366,456,407,Joystick
367,1600,73,Shop
368,370,42,Configuration
369,1616,17,Shop
370,1616,17,Shop
371,1616,17,Shop
372,1613,68,Shop
373,1590,87,Attack command
374,1499,69,Shop
375,313,433,Joystick
376,1361,390,Skill 3
377,278,582,Joystick
378,279,627,Joystick
379,290,650,Joystick
380,1615,14,Shop
381,217,383,Joystick
382,843,246,Upgrade skill 1
383,1428,136,Retreat command
384,1615,16,Shop
385,1615,16,Shop
386,1618,19,Shop
387,1291,447,Skill 2
388,892,203,
389,1240,409,
390,344,160,On mic team
391,1330,432,Skill 3
392,1333,517,Skill 2
393,150,239,Mini map
394,145,242,Mini map
395,145,243,Mini map
396,149,239,Mini map
397,1180,459,Upgrade skill 2
398,156,237,Mini map
399,412,421,Joystick
400,1057,563,Spell (Battle Spell)
401,1056,597,Spell (Battle Spell)
402,879,705,Recall
403,363,692,Joystick
404,1361,195,Unique item
405,515,463,Joystick
406,554,516,Joystick
407,465,373,Joystick
408,428,336,Joystick
409,436,337,Joystick
410,422,327,Joystick
411,397,314,Joystick
412,442,338,Joystick
413,422,338,Joystick
414,326,285,Joystick
415,1397,186,
